Number,Journal tittle ,Platform,Indexed on Google Scholar,Indexed on Scopus,Idexed on Google Scholar and Scopus,Indexed on at least one platform,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online
1,International Journal of Energetica  ,African Journal Online (AJOL),0,0,0,0,1,1,1,0,1,1
2,Journal de la Faculté de Médecine,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
3,Journal of Fundamental and Applied Sciences  ,African Journal Online (AJOL),1,0,0,1,1,1,0,0,1,1
4,les cahiers du cread,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
5,Management & Eco0mics Research Journal,African Journal Online (AJOL),0,0,0,0,1,1,1,1,1,1
6,Revue d'Information Scientifique et Technique,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
7,Synthèse: Revue des Sciences et de la Tech0logie ,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
8,Tech0logies Avancées,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
9,Annales des Sciences Agro0miques,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
10,Botswana Journal of Eco0mics,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
11,Botswana Journal of Tech0logy,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
12,Marang: Journal of Language and Literature,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1
13,Revue Burkinabè de droit,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
14,"Science et Technique, Sciences de la Santé",African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1
15,Sud Sciences et Tech0logies,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
16,East Africa Science,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
17,African Anthropologist,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
18,Cameroon Journal of Agricultural Science,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
19,Cameroon Journal of Experimental Biology,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
20,Clinics in Mother and Child Health,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
21,International Journal of Biological and Chemical Sciences,African Journal Online (AJOL),1,0,0,1,1,0,1,0,1,1
22,Investigational Medicinal Chemistry and Pharmacology,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
23,Journal of the Cameroon Academy of Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
24,Revue Africaine de Chirurgie et Spécialités,African Journal Online (AJOL),1,0,0,1,0,0,1,0,1,1
25,Journal of the Cameroon Academy of Sciences,African Journal Online (AJOL),0,0,0,0,1,0,1,0,1,1
26,Revue de Médecine et de Pharmacie,African Journal Online (AJOL),0,0,0,0,0,0,1,0,1,1
27,Abia State University Medical Students' Association Journal,African Journal Online (AJOL),0,0,0,0,0,0,0,0,1,1
